T[s],S/a_g
0.0,1.35
0.05,1.85625
0.1,2.3625
0.15,2.86875
0.2,3.375
0.25,3.375
0.3,3.375
0.35,3.375
0.4,3.375
0.45,3.375
0.5,3.375
0.55,3.375
0.6,3.375
0.65,3.375
0.7,3.375
0.75,3.375
0.8,3.375
0.85,3.176470588
0.9,3.0
0.95,2.842105263
1.0,2.7
1.05,2.571428571
1.1,2.454545455
1.15,2.347826087
1.2,2.25
1.25,2.16
1.3,2.076923077
1.35,2.0
1.4,1.928571429
1.45,1.862068966
1.5,1.8
1.55,1.741935484
1.6,1.6875
1.65,1.636363636
1.7,1.588235294
1.75,1.542857143
1.8,1.5
1.85,1.459459459
1.9,1.421052632
1.95,1.384615385
2.0,1.35
2.05,1.284949435
2.1,1.224489796
2.15,1.168199027
2.2,1.115702479
2.25,1.066666667
2.3,1.020793951
2.35,0.9778180172
2.4,0.9375
2.45,0.8996251562
2.5,0.864
2.55,0.830449827
2.6,0.798816568
2.65,0.7689569242
2.7,0.7407407407
2.75,0.7140495868
2.8,0.6887755102
2.85,0.6648199446
2.9,0.6420927467
2.95,0.6205113473
3.0,0.6
3.05,0.5804891158
3.1,0.5619146722
3.15,0.5442176871
3.2,0.52734375
3.25,0.5112426036
3.3,0.4958677686
3.35,0.4811762085
3.4,0.4671280277
3.45,0.4536862004
3.5,0.4408163265
3.55,0.4284864114
3.6,0.4166666667
3.65,0.4053293301
3.7,0.3944485026
3.75,0.384
3.8,0.3739612188
3.85,0.3643110137
3.9,0.3550295858
3.95,0.3460983817
4.0,0.0
